variance,skewness,curtosis,entropy
2.0911,0.94358,4.5512,1.234
1.7257,-4.4697,8.2219,-1.8073
4.9852,8.3516,-2.5425,-1.2823
5.7403,-0.44284,0.38015,1.3763
-0.062025,6.1975,1.099,-1.131
3.0934,-2.9177,2.2232,0.22283
1.8664,7.7763,-0.23849,-2.9634
-2.659,-1.6058,1.3647,0.16464
-0.048008,-1.6037,8.4756,0.75558
4.1605,11.2196,-3.6136,-4.0819
-1.2369,-1.6906,2.518,0.51636
-5.0676,-5.1877,10.4266,-0.86725
1.9818,9.2621,-3.521,-1.872
-1.5075,1.9224,7.1466,0.89136
0.3292,-4.4552,4.5718,-0.9888
-3.0061,-12.2377,11.9552,-2.1603
0.066129,2.4914,-2.9401,-0.62156
4.6464,10.5326,-4.5852,-4.206
-1.2943,2.6735,-0.84085,-2.0323
5.0617,-0.35799,0.44698,0.99868
